Order;MS Zoning;Lot Frontage;Lot Area;Land Contour;Land Slope;Overall Qual;Year Built;Year Remod/Add;Mas Vnr Type;Exter Qual;Bsmt Cond;Total Bsmt SF;Heating QC;Central Air;Full Bath;Half Bath;Bedroom AbvGr;Kitchen AbvGr;Kitchen Qual;TotRms AbvGrd;Garage Cars;Garage Area;Garage Cond;Pool Area;Pool QC;Mo Sold;Yr Sold;SalePrice
658;RL;80;8146;Lvl;Gtl;4;1900;2003;None;Gd;TA;405;Gd;Y;1;0;2;1;TA;6;1;281;TA;0;Sp;5;2009;114000
659;RL;52;9022;Lvl;Gtl;5;1924;2006;None;Gd;TA;768;Ex;Y;1;0;2;1;Gd;5;1;240;Fa;0;Sp;5;2009;109500
660;RL;60;10230;Lvl;Gtl;5;1925;1950;None;TA;TA;1054;Ex;Y;1;0;3;1;Ex;6;1;264;TA;0;Sp;12;2009;125000
661;RL;60;10410;Lvl;Gtl;4;1915;1950;None;TA;TA;1313;TA;Y;2;0;3;1;Gd;8;2;528;TA;0;Sp;6;2009;142900
662;RL;60;7200;Lvl;Gtl;7;1910;2008;None;Gd;TA;560;Ex;Y;2;0;4;1;Gd;5;2;624;TA;0;Sp;8;2009;156500
663;RL;90;5400;Lvl;Gtl;2;1940;1950;None;Fa;TA;416;Gd;N;1;0;2;1;Gd;4;0;0;Sg;0;Sp;6;2009;59000
664;RL;90;5400;Lvl;Gtl;4;1920;1950;None;Fa;TA;840;Ex;Y;1;0;2;1;TA;6;1;338;TA;0;Sp;10;2009;105000
665;RL;60;10800;Lvl;Gtl;5;1920;1950;None;TA;TA;720;TA;N;1;0;2;1;Gd;4;2;576;TA;0;Sp;6;2009;106000
666;RL;60;10800;Lvl;Gtl;3;1890;1998;None;TA;TA;630;TA;Y;1;1;1;1;TA;4;1;320;TA;0;Sp;11;2009;78500
667;RL;81;9671;Lvl;Gtl;6;1969;1969;Stone;TA;TA;1248;TA;Y;2;2;6;2;TA;12;3;907;TA;0;Sp;8;2009;190000
668;RL;83;10143;Lvl;Gtl;6;1963;1963;BrkFace;TA;TA;1380;Fa;Y;1;1;3;1;TA;6;1;364;TA;0;Sp;6;2009;154000
669;RL;77;11500;Lvl;Gtl;6;1967;1967;None;Fa;Fa;1040;Gd;Y;1;0;3;1;TA;6;2;480;TA;0;Sp;5;2009;163000
670;RL;91;11643;Lvl;Gtl;5;1969;1969;BrkFace;TA;TA;1248;TA;Y;2;2;6;2;TA;12;4;968;TA;0;Sp;8;2009;200000
671;RL;62;8010;Lvl;Gtl;6;1958;2007;None;Gd;TA;951;Gd;Y;1;0;2;1;Gd;6;2;480;TA;0;Sp;9;2009;143500
672;RL;90;10454;Lvl;Gtl;6;1957;1957;Stone;TA;TA;1105;Gd;Y;1;0;3;1;TA;5;1;308;TA;0;Sp;4;2009;135000
673;RL;64;8712;Lvl;Gtl;5;1957;2000;None;TA;TA;992;TA;Y;1;0;2;1;TA;5;1;756;TA;0;Sp;5;2009;153000
674;RL;;17600;Lvl;Gtl;6;1960;1960;BrkFace;TA;TA;1478;Ex;Y;2;0;3;1;TA;6;2;498;TA;0;Sp;12;2009;157500
675;RL;80;9000;HLS;Mod;6;1958;1958;BrkFace;TA;TA;160;Fa;Y;1;0;2;1;TA;5;1;384;TA;0;Sp;4;2009;113500
676;RL;60;12144;Lvl;Gtl;5;1949;1950;None;Gd;TA;832;Gd;Y;1;0;3;1;TA;6;1;288;TA;0;Sp;9;2009;133000
677;RL;60;8544;Lvl;Gtl;3;1950;1950;None;TA;Ss;0;Fa;N;2;0;2;2;TA;6;2;400;TA;0;Sp;6;2009;92900
678;RL;60;8064;Lvl;Gtl;6;1950;1950;None;TA;TA;795;Gd;N;1;0;3;1;TA;5;2;900;TA;0;Sp;12;2009;128500
679;RL;60;7200;Lvl;Gtl;4;1949;1950;None;TA;Ss;0;Fa;N;2;0;2;2;TA;6;2;420;TA;0;Sp;6;2009;90000
680;RL;60;7200;Lvl;Gtl;5;1950;1982;None;TA;TA;1208;Gd;Y;1;1;3;1;TA;7;1;240;TA;0;Sp;5;2009;138000
681;RL;71;7350;Lvl;Gtl;5;1958;1958;None;TA;TA;1041;Gd;Y;1;0;3;1;TA;6;1;294;TA;0;Sp;3;2009;128000
682;RL;70;7560;Lvl;Gtl;5;1958;1965;None;TA;TA;1029;TA;Y;1;0;3;1;TA;6;1;294;TA;0;Sp;5;2009;139000
683;RL;60;7200;Lvl;Gtl;5;1952;1952;None;TA;Gd;732;TA;Y;1;0;2;1;TA;4;1;240;TA;0;Sp;9;2009;118900
684;RL;80;8000;Lvl;Gtl;5;1959;1959;None;TA;TA;528;TA;Y;1;0;3;1;TA;6;1;288;TA;0;Sp;7;2009;138000
685;RL;70;7931;Lvl;Gtl;5;1959;1959;None;TA;TA;1148;TA;Y;1;0;3;1;TA;6;1;672;TA;0;Sp;7;2009;132500
686;RL;60;10800;Lvl;Gtl;4;1949;1996;None;TA;TA;832;TA;Y;2;0;4;1;TA;6;1;384;TA;0;Sp;8;2009;133500
687;RL;60;8064;Lvl;Gtl;6;1948;1994;None;TA;TA;864;TA;Y;1;0;3;1;TA;6;2;576;TA;0;Sp;8;2009;135000
688;RL;76;7570;Lvl;Gtl;6;1964;1964;BrkFace;TA;TA;780;TA;Y;1;1;4;1;TA;8;2;483;TA;0;Sp;3;2009;144750
689;RL;75;8604;Lvl;Gtl;5;1978;1978;BrkFace;TA;TA;941;Gd;Y;1;0;2;1;Gd;4;2;564;TA;0;Sp;11;2009;145000
690;RL;80;7936;Lvl;Gtl;6;1963;1963;None;TA;TA;1045;TA;Y;1;0;3;1;TA;6;1;264;TA;0;Sp;4;2009;127000
691;RL;60;6600;Lvl;Gtl;5;1962;1962;None;TA;TA;894;Gd;N;1;0;2;1;TA;5;1;308;TA;0;Sp;8;2009;109500
692;RM;;3950;Bnk;Gtl;6;1926;2004;None;TA;TA;818;TA;Y;1;0;3;1;TA;5;1;210;TA;0;Sp;12;2009;115000
693;RM;60;10440;Lvl;Gtl;5;1910;1981;None;TA;TA;440;Gd;Y;1;1;2;1;TA;5;2;440;TA;0;Sp;5;2009;110000
694;RM;68;4080;Lvl;Gtl;6;1935;1998;None;TA;TA;901;Gd;Y;1;0;3;1;Gd;6;1;162;Fa;0;Sp;6;2009;128900
695;RM;57;10307;Lvl;Gtl;6;1910;1950;None;TA;TA;972;Gd;N;2;0;4;2;TA;12;2;324;TA;0;Sp;6;2009;103500
696;RM;52;5720;Lvl;Gtl;5;1941;1950;None;TA;TA;676;Ex;Y;1;1;3;1;TA;5;1;200;TA;0;Sp;8;2009;66500
697;RM;90;15660;Lvl;Gtl;5;1910;2003;None;TA;TA;240;TA;Y;1;1;3;1;Gd;6;2;472;TA;0;Sp;7;2009;130000
698;RM;90;9900;Lvl;Gtl;5;1910;2002;None;Gd;TA;504;Ex;Y;2;0;3;1;TA;7;0;0;Sg;0;Sp;3;2009;129000
699;RM;57;6406;Lvl;Gtl;5;1939;1950;None;TA;TA;690;TA;Y;1;1;3;1;TA;7;2;400;TA;0;Sp;10;2009;150000
700;RM;60;6600;Lvl;Gtl;5;1892;1965;None;TA;TA;994;TA;N;2;0;4;2;TA;11;1;432;TA;0;Sp;12;2009;107500
701;RM;63;7627;Lvl;Gtl;4;1920;1950;None;Fa;Po;600;Gd;N;2;0;4;2;Fa;8;0;0;Sg;0;Sp;10;2009;94550
702;RM;60;7596;Lvl;Gtl;5;1952;1952;BrkFace;TA;TA;960;Gd;Y;2;0;4;2;TA;10;2;400;TA;0;Sp;7;2009;124500
703;RM;60;3378;HLS;Gtl;7;1946;1992;None;TA;TA;651;Gd;Y;1;1;3;1;TA;6;1;240;TA;0;Sp;9;2009;135000
704;RM;56;10134;Lvl;Gtl;5;1910;1950;None;TA;TA;801;Gd;N;1;0;3;1;TA;6;0;0;Sg;0;Sp;7;2009;103000
705;RM;60;6000;Bnk;Mod;4;1953;1953;None;Fa;TA;936;TA;N;1;0;2;1;TA;4;2;576;TA;0;Sp;2;2009;93000
706;RM;50;6000;Lvl;Gtl;5;1950;1970;None;TA;TA;768;TA;Y;1;1;3;1;TA;6;1;308;TA;0;Sp;3;2009;129500
707;RM;50;6000;Lvl;Gtl;5;1954;1954;None;TA;TA;811;TA;Y;2;0;3;2;Gd;7;1;256;TA;0;Sp;11;2009;93000
708;RM;62;7404;Lvl;Gtl;4;1920;1950;None;TA;TA;861;TA;Y;1;0;2;1;TA;5;2;288;TA;0;Sp;11;2009;80000
709;RM;50;5925;Lvl;Gtl;2;1940;1950;None;TA;Ss;0;Fa;N;1;0;1;1;TA;4;1;308;Fa;0;Sp;10;2009;45000
710;RM;50;5925;Lvl;Gtl;3;1910;1950;None;TA;TA;600;Fa;N;1;0;2;1;TA;6;0;0;Sg;0;Sp;5;2009;37900
711;RM;50;5784;Lvl;Gtl;5;1938;1996;None;TA;TA;190;Gd;Y;1;0;2;1;TA;4;1;273;TA;0;Sp;12;2009;91300
712;RM;60;8520;Lvl;Gtl;5;1923;1950;None;Gd;TA;624;TA;Y;1;0;2;1;TA;5;1;287;TA;0;Sp;2;2009;99500
713;RM;33;4456;Lvl;Gtl;4;1920;2008;None;TA;TA;736;Gd;Y;2;0;2;3;TA;8;0;0;Sg;0;Sp;6;2009;113000
714;RM;60;9600;Lvl;Gtl;4;1910;1950;None;Gd;TA;677;TA;Y;2;0;3;1;Gd;7;2;720;TA;0;Sp;6;2009;87500
715;RM;50;3500;Lvl;Gtl;5;1947;1950;None;TA;TA;720;TA;Y;1;1;2;1;TA;5;1;240;TA;0;Sp;4;2009;110000
716;RM;90;8100;Lvl;Gtl;5;1898;1965;None;TA;TA;849;TA;N;2;0;2;3;TA;11;2;360;Po;0;Sp;11;2009;106000
717;RM;65;11700;Lvl;Gtl;7;1880;2003;None;Gd;Fa;1240;TA;N;1;1;4;1;Gd;8;4;864;TA;0;Sp;5;2009;265979
718;RM;70;8400;Lvl;Gtl;6;1900;1950;None;TA;Gd;917;Gd;Y;2;0;3;1;Ex;8;1;357;TA;0;Sp;6;2009;160000
719;RM;60;3600;Lvl;Gtl;6;1917;2007;None;TA;TA;624;Ex;Y;1;0;3;1;Ex;5;1;280;TA;0;Sp;5;2009;119000
720;RM;121;17671;Lvl;Gtl;8;1882;1986;None;Gd;TA;916;Gd;Y;1;1;4;1;Gd;8;2;424;TA;0;Sp;11;2009;168000
721;C;;3300;Lvl;Gtl;4;1910;1950;None;TA;TA;624;Ex;Y;1;0;2;1;TA;5;0;0;Sg;0;Sp;6;2009;58500
722;RM;50;9000;Lvl;Gtl;7;1920;1988;None;TA;TA;650;Ex;Y;1;0;3;1;TA;7;2;324;TA;0;Sp;7;2009;143000
723;RM;60;7200;Lvl;Gtl;5;1910;2006;None;TA;TA;1022;TA;N;1;0;2;1;TA;4;1;280;TA;0;Sp;6;2009;85000
724;RM;98;8820;Lvl;Gtl;5;1890;1996;None;TA;TA;1088;TA;Y;1;0;2;1;TA;7;2;456;TA;0;Sp;9;2009;124900
725;RM;60;5400;Lvl;Gtl;6;1920;1950;None;Fa;TA;972;Ex;Y;1;0;3;1;TA;6;1;207;TA;0;Sp;9;2009;119000
726;RM;60;9720;Lvl;Gtl;6;1910;2002;None;TA;TA;741;Ex;Y;1;0;4;1;Gd;8;3;640;TA;0;Sp;9;2009;146500
727;C;60;7879;Lvl;Gtl;4;1920;1950;None;TA;TA;720;TA;N;1;0;2;1;TA;4;0;0;Sg;0;Sp;11;2009;34900
728;C;72;9392;Lvl;Gtl;3;1900;1950;None;TA;TA;245;TA;N;1;0;2;1;TA;5;0;0;Sg;0;Sp;9;2009;44000
729;RL;144;21384;Lvl;Gtl;5;1923;2004;None;TA;TA;1324;Ex;Y;1;1;3;1;Gd;6;2;528;TA;0;Sp;5;2009;223500
730;RL;;6615;Lvl;Gtl;6;1923;1950;None;TA;TA;1022;TA;N;1;0;3;1;Gd;6;1;216;TA;0;Sp;9;2009;149000
731;RL;55;7264;Lvl;Gtl;7;1925;2007;None;Gd;TA;952;Gd;N;2;1;3;1;Ex;5;2;672;TA;0;Sp;10;2009;205000
732;RL;50;4960;Lvl;Gtl;5;1930;1982;None;TA;TA;297;Ex;Y;2;0;3;1;TA;7;1;336;TA;0;Sp;5;2009;137000
733;RL;;8854;Lvl;Gtl;6;1916;1950;None;TA;TA;952;Fa;N;1;0;2;1;Fa;4;1;192;Po;0;Sp;5;2009;121000
734;RM;50;6000;Lvl;Gtl;4;1936;1950;None;TA;TA;672;TA;Y;1;0;3;1;TA;6;1;240;TA;0;Sp;7;2009;128000
735;RM;50;6000;Lvl;Gtl;6;1937;2000;None;Gd;TA;698;TA;Y;1;0;2;1;TA;4;2;624;TA;0;Sp;7;2009;134900
736;RM;50;6000;Lvl;Gtl;5;1925;1997;None;TA;TA;884;Ex;Y;1;0;3;1;TA;5;1;216;TA;0;Sp;5;2009;117000
737;RM;50;6000;Lvl;Gtl;6;1939;1950;None;TA;TA;780;Ex;Y;1;0;4;1;TA;6;1;280;TA;0;Sp;5;2009;132500
738;RM;60;6000;Lvl;Gtl;5;1924;1950;BrkFace;TA;TA;468;Gd;Y;1;0;3;1;TA;6;1;320;TA;0;Sp;6;2009;93000
739;RM;50;6000;Lvl;Gtl;6;1926;2004;None;Gd;TA;884;Gd;Y;1;0;2;1;TA;4;1;180;TA;0;Sp;1;2009;119000
740;RM;60;6911;Lvl;Gtl;5;1924;1950;None;TA;TA;1145;TA;Y;1;0;2;1;Fa;5;2;440;TA;0;Sp;10;2009;100000
741;RM;51;6120;Lvl;Gtl;5;1936;1950;None;TA;TA;927;TA;Y;1;1;3;1;TA;5;2;576;TA;0;Sp;4;2009;141500
742;RM;51;6120;Lvl;Gtl;4;1935;1995;None;TA;TA;884;Ex;Y;1;0;3;1;Gd;6;1;240;TA;0;Sp;7;2009;133000
743;RM;51;6120;Lvl;Gtl;2;1936;1950;None;Fa;Fa;264;Fa;N;1;0;1;1;Fa;4;0;0;Sg;0;Sp;1;2009;60000
744;RM;51;6120;Lvl;Gtl;5;1931;1993;None;TA;TA;715;TA;Y;1;0;2;1;TA;5;1;180;TA;0;Sp;11;2009;105000
745;RM;51;6120;Lvl;Gtl;5;1925;1999;None;TA;TA;960;Gd;Y;1;0;2;1;TA;5;1;264;TA;0;Sp;3;2009;115000
746;RM;51;6120;Lvl;Gtl;5;1938;1950;None;TA;Fa;952;TA;Y;2;0;3;1;TA;6;1;250;TA;0;Sp;2;2009;150000
747;RM;50;8635;Lvl;Gtl;5;1925;1950;None;TA;TA;1072;TA;Y;1;0;2;1;TA;5;5;1184;TA;0;Sp;8;2009;126500
748;RL;;11888;Bnk;Gtl;6;1916;1994;None;TA;TA;844;Gd;N;2;0;5;1;Gd;10;2;441;TA;0;Sp;7;2009;214500
749;RL;60;11414;Lvl;Gtl;7;1910;1993;None;TA;TA;728;TA;N;1;0;3;1;Gd;8;2;532;TA;0;Sp;10;2009;167500
750;RM;57;8094;Lvl;Gtl;6;1915;1950;None;TA;TA;1048;Gd;Y;2;0;3;1;TA;8;2;576;Fa;0;Sp;6;2009;155000
751;RM;50;2500;Lvl;Gtl;7;1915;2005;None;Gd;TA;910;Ex;Y;1;1;4;1;Ex;7;1;164;Fa;0;Sp;6;2009;155000
752;RM;68;9928;Lvl;Gtl;7;1915;1994;None;TA;TA;672;Fa;Y;2;0;3;1;TA;8;1;216;TA;0;Sp;6;2009;179900
753;RM;92;5520;Lvl;Gtl;6;1912;1950;None;TA;TA;755;Ex;Y;1;0;5;1;TA;8;0;0;Sg;0;Sp;7;2009;104000
754;RM;50;3000;Bnk;Gtl;5;1922;1950;None;TA;Fa;1040;TA;N;2;0;4;2;TA;11;0;0;Sg;0;Sp;9;2009;62500
755;RM;57;6876;Lvl;Gtl;6;1927;1950;None;TA;Fa;720;Fa;Y;2;0;4;1;TA;8;1;316;TA;0;Sp;8;2009;149000
756;RM;52;6240;Lvl;Gtl;4;1925;1950;None;TA;TA;780;TA;Y;1;0;2;1;TA;5;2;539;TA;0;Sp;1;2009;103000
757;RM;;5775;Bnk;Mod;6;1915;2002;None;TA;TA;483;Ex;Y;1;0;3;1;Gd;7;1;379;TA;0;Sp;2;2009;123000
758;RM;41;5852;Bnk;Gtl;7;1902;2000;Stone;TA;Fa;1020;TA;N;2;1;6;1;TA;9;0;0;Sg;0;Sp;5;2009;97500
759;RM;60;5160;Lvl;Gtl;6;1927;1950;None;TA;TA;1204;TA;Y;1;0;3;1;TA;4;1;384;TA;0;Sp;8;2009;135000
760;RM;86;5160;Lvl;Gtl;4;1923;1950;None;TA;Fa;858;TA;Y;1;0;1;1;Gd;5;0;0;Sg;0;Sp;7;2009;70000
761;RM;60;10320;Bnk;Gtl;6;1915;1965;None;TA;TA;698;Ex;Y;1;1;3;1;TA;7;1;308;TA;0;Sp;2;2009;116000
762;RL;50;4280;Lvl;Gtl;4;1946;2001;None;TA;TA;560;Ex;Y;1;0;2;1;Fa;4;1;220;TA;0;Sp;9;2009;88750
763;RL;60;10800;Lvl;Gtl;5;1987;1988;None;TA;Gd;1200;TA;Y;3;0;3;1;TA;5;0;0;Sg;0;Sp;3;2009;179000
764;RL;60;10800;Lvl;Gtl;5;1987;1988;None;TA;Gd;1200;TA;Y;3;0;3;1;TA;5;0;0;Sg;0;Sp;3;2009;179000
765;RL;;10547;Lvl;Gtl;5;1978;1978;None;TA;Gd;1152;TA;Y;2;0;2;2;TA;6;1;252;Fa;0;Sp;7;2009;159900
766;RL;;10020;Low;Sev;1;1922;1950;None;Fa;Po;683;Gd;N;0;1;1;1;Fa;4;0;0;Sg;0;Sp;3;2009;61000
767;RH;54;6629;Lvl;Gtl;6;1925;1950;None;TA;TA;672;TA;N;2;0;3;1;TA;6;1;300;TA;0;Sp;7;2009;103600
768;RL;60;9780;Lvl;Gtl;5;1934;1950;None;TA;TA;585;TA;N;2;0;4;1;TA;6;1;226;Po;0;Sp;3;2009;63000
769;RL;70;12886;Lvl;Gtl;5;1963;1999;None;TA;TA;520;Ex;Y;2;0;3;1;TA;6;2;480;TA;0;Sp;10;2009;175000
770;RL;80;8816;Lvl;Gtl;5;1963;1963;None;TA;TA;1121;TA;Y;1;0;3;1;TA;5;2;480;TA;0;Sp;6;2009;139000
771;RL;70;11184;Lvl;Gtl;6;1978;1978;BrkFace;TA;TA;918;Gd;Y;2;1;3;1;TA;7;2;440;TA;0;Sp;7;2009;172500
772;RL;75;11625;Lvl;Gtl;5;1967;1967;BrkFace;TA;TA;1052;TA;Y;1;1;3;1;TA;6;1;668;TA;0;Sp;4;2009;113500
773;RL;65;7800;Lvl;Gtl;5;1967;2004;BrkFace;TA;TA;864;Ex;Y;1;0;3;1;Gd;5;1;288;TA;0;Sp;6;2009;130000
774;RL;;8014;Lvl;Gtl;6;1978;1978;BrkFace;TA;TA;456;TA;Y;1;0;3;1;TA;5;2;504;TA;0;Sp;6;2009;149900
775;RL;;7252;Lvl;Gtl;5;1982;1982;None;TA;TA;858;TA;Y;1;0;2;1;TA;5;2;576;TA;0;Sp;4;2009;134900
776;RL;74;8740;Lvl;Gtl;5;1982;1982;None;TA;TA;840;TA;Y;1;0;2;1;TA;4;2;528;TA;0;Sp;7;2009;137000
777;RL;;11616;Lvl;Gtl;5;1962;1962;BrkFace;TA;TA;1092;TA;Y;1;0;3;1;TA;6;1;288;TA;0;Sp;9;2009;139000
778;RL;88;15400;Lvl;Gtl;5;1961;1961;None;TA;Gd;552;TA;Y;2;0;4;1;TA;8;1;384;TA;0;Sp;7;2009;165000
779;RL;88;15312;Lvl;Gtl;6;1960;1960;BrkFace;TA;TA;1138;Ex;Y;1;0;3;1;TA;6;2;480;TA;0;Sp;3;2009;148000
780;RL;;15584;Lvl;Gtl;5;1956;1956;BrkFace;TA;TA;825;Ex;Y;1;1;4;1;TA;9;1;336;TA;0;Sp;10;2009;165000
781;RL;;9000;Lvl;Gtl;2;1947;1950;None;TA;Ss;0;Fa;N;1;0;2;1;Fa;5;0;0;Sg;0;Sp;6;2009;63900
782;RL;;11250;Lvl;Gtl;4;1957;1989;None;TA;TA;1104;Ex;Y;1;0;5;1;TA;8;1;304;TA;0;Sp;11;2009;161500
783;RL;65;25095;Low;Sev;5;1968;2003;None;TA;TA;1437;Ex;Y;1;0;1;1;Ex;5;1;452;TA;0;Sp;6;2009;143000
784;RL;;17140;Lvl;Gtl;4;1956;1956;None;TA;TA;1134;Ex;Y;1;0;3;1;TA;6;1;284;TA;0;Sp;4;2009;135000
785;RL;;12342;Lvl;Gtl;4;1940;1950;None;TA;TA;861;Ex;Y;1;0;1;1;TA;4;2;539;TA;0;Sp;3;2009;82500
786;RL;;10708;Lvl;Gtl;5;1955;1993;None;Gd;TA;1617;Ex;Y;1;0;2;1;TA;7;1;303;TA;0;Sp;11;2009;190000
787;RL;;13680;Lvl;Gtl;3;1955;1955;None;TA;Ss;0;Ex;Y;2;0;4;1;TA;8;2;452;TA;0;Sp;6;2009;139600
788;RL;;15635;Lvl;Gtl;4;1954;1954;None;TA;Ss;0;TA;Y;1;0;2;1;TA;6;2;498;TA;0;Sp;10;2009;122000
789;RL;73;9855;Lvl;Gtl;6;1956;1956;None;TA;TA;1436;Fa;Y;1;0;3;1;TA;7;2;480;TA;0;Sp;11;2009;127500
790;RL;68;9571;Lvl;Gtl;5;1956;1956;None;TA;TA;1073;TA;Y;1;0;2;1;TA;5;1;340;TA;0;Sp;2;2009;121500
791;RL;68;9571;Lvl;Gtl;5;1958;1958;None;TA;Fa;1276;TA;Y;1;0;3;1;TA;5;1;350;TA;0;Sp;6;2009;60000
792;RL;50;9350;Bnk;Gtl;6;1946;1950;None;TA;TA;747;Ex;Y;1;1;3;1;Gd;6;1;240;TA;0;Sp;7;2009;154400
793;RL;50;9340;Lvl;Gtl;4;1941;1950;None;TA;TA;672;TA;Y;1;0;2;1;TA;4;1;234;TA;0;Sp;8;2009;113000
794;RL;62;7440;Lvl;Gtl;5;1954;1954;None;TA;TA;1089;TA;Y;1;0;3;1;TA;5;1;252;TA;0;Sp;9;2009;125000
795;RL;;11500;Lvl;Gtl;4;1957;1957;None;TA;Ss;0;Ex;N;1;0;3;1;TA;5;1;290;TA;0;Sp;1;2009;84000
796;RL;42;4235;Lvl;Gtl;5;1984;1984;BrkFace;Gd;TA;1049;TA;Y;2;0;2;1;Gd;5;1;266;TA;0;Sp;2;2009;139500
797;RL;60;11409;Lvl;Gtl;5;1949;2008;None;TA;TA;768;Gd;Y;1;1;3;1;TA;8;1;281;TA;0;Sp;1;2009;131000
798;RL;60;9060;Lvl;Gtl;6;1939;1950;None;TA;TA;560;TA;Y;1;0;2;1;TA;6;1;280;TA;0;Sp;10;2009;105000
799;RL;60;9084;Lvl;Gtl;4;1940;1950;None;TA;TA;755;TA;Y;1;0;4;1;TA;7;1;296;Po;0;Sp;10;2009;108000
800;RL;74;10778;Lvl;Gtl;7;1990;1991;None;Gd;TA;1054;Gd;Y;1;1;1;1;Gd;4;2;462;TA;0;Sp;7;2009;162000
801;RL;66;19255;Lvl;Gtl;6;1983;1983;BrkFace;Gd;TA;520;Gd;Y;1;1;2;1;Gd;5;2;576;TA;0;Sp;9;2009;156500
802;RL;79;12327;Low;Mod;8;1983;2009;None;Gd;TA;1496;Ex;Y;1;1;1;1;Gd;5;2;612;TA;0;Sp;9;2009;316600
803;RL;90;14684;Lvl;Gtl;7;1990;1991;BrkFace;Gd;TA;2158;Gd;Y;2;0;3;1;Gd;7;3;701;TA;0;Sp;6;2009;271900
804;RL;75;9317;Lvl;Gtl;7;1993;1993;BrkFace;Gd;TA;740;Ex;Y;2;1;3;1;Gd;7;2;425;TA;0;Sp;7;2009;213000
805;RL;85;10560;Lvl;Gtl;7;1993;1994;None;Gd;Gd;1079;Ex;Y;2;1;3;1;Gd;8;2;473;TA;0;Sp;8;2009;239900
806;RL;80;9828;Lvl;Gtl;8;1995;1995;None;Gd;TA;1128;Ex;Y;2;1;3;1;Gd;8;2;466;TA;0;Sp;6;2009;239500
807;RL;120;26400;Bnk;Gtl;5;1880;2007;None;Gd;Ss;0;Ex;Y;1;0;4;1;TA;7;2;576;TA;0;Sp;6;2009;131000
808;RL;64;7018;Bnk;Gtl;5;1979;1979;None;TA;Ss;0;TA;Y;2;0;4;2;TA;8;2;410;TA;0;Sp;6;2009;118964
809;RL;64;7018;Bnk;Gtl;5;1979;1979;Stone;TA;TA;1086;TA;Y;0;2;2;2;TA;6;2;528;TA;0;Sp;6;2009;153337
810;RL;64;7018;Lvl;Gtl;5;1979;1979;None;TA;Ss;0;TA;Y;2;0;6;2;TA;8;2;720;TA;0;Sp;6;2009;147983
811;RL;64;7018;Bnk;Gtl;5;1979;1979;None;TA;Ss;0;TA;Y;2;0;4;2;TA;8;2;400;TA;0;Sp;6;2009;118858
812;RL;64;7018;Bnk;Gtl;5;1979;1979;None;TA;Ss;0;TA;Y;2;0;4;2;TA;8;2;400;TA;0;Sp;6;2009;118858
813;RL;64;7018;Lvl;Gtl;5;1979;1979;None;TA;Ss;0;TA;Y;2;0;6;2;TA;12;2;528;TA;0;Sp;6;2009;142953
814;RL;64;7040;Lvl;Gtl;5;1979;1979;BrkFace;TA;TA;1094;TA;Y;0;2;2;2;Gd;6;2;672;TA;0;Sp;6;2009;148325
815;RL;64;7007;Bnk;Gtl;5;1979;1979;None;TA;Ss;0;TA;Y;2;0;4;2;TA;8;2;400;TA;0;Sp;6;2009;113722
816;RL;;11855;Lvl;Gtl;7;2000;2000;BrkFace;TA;TA;1168;Ex;Y;4;2;6;2;TA;8;4;820;TA;0;Sp;10;2009;269500
817;RL;;7939;Lvl;Gtl;7;2000;2000;BrkFace;TA;TA;1168;Ex;Y;4;2;6;2;TA;8;4;820;TA;0;Sp;10;2009;269500
818;RL;;7976;Lvl;Gtl;7;2000;2000;BrkFace;TA;TA;1168;Ex;Y;4;2;6;2;TA;8;4;820;TA;0;Sp;10;2009;269500
819;RL;84;10933;Lvl;Gtl;9;2009;2009;Stone;Ex;TA;1555;Ex;Y;1;1;1;1;Ex;8;3;1138;TA;0;Sp;7;2009;323262
820;RL;79;10637;Lvl;Gtl;8;2007;2008;Stone;Gd;TA;1705;Ex;Y;2;0;3;1;Gd;7;3;826;TA;0;Sp;9;2009;297000
821;RL;61;10226;Lvl;Gtl;8;2008;2008;Stone;Gd;TA;1622;Ex;Y;2;0;3;1;Ex;8;3;860;TA;0;Sp;1;2009;295493
822;RL;65;10816;Lvl;Gtl;9;2008;2008;Stone;Ex;TA;1720;Ex;Y;2;0;3;1;Ex;8;3;846;TA;0;Sp;11;2009;332000
823;RL;71;9178;Lvl;Gtl;8;2008;2008;None;Gd;TA;1468;Ex;Y;2;0;3;1;Gd;6;3;904;TA;0;Sp;6;2009;239900
824;RL;68;10769;Lvl;Gtl;8;2007;2007;None;Gd;TA;866;Ex;Y;2;1;3;1;Gd;7;2;578;TA;0;Sp;4;2009;212000
825;RL;77;11422;Lvl;Gtl;8;2007;2008;Stone;Gd;TA;1838;Ex;Y;2;0;3;1;Gd;7;2;524;TA;0;Sp;4;2009;272500
826;RL;122;11923;Lvl;Gtl;9;2007;2007;None;Gd;TA;1800;Ex;Y;2;0;2;1;Ex;7;2;702;TA;0;Sp;5;2009;239000
827;RL;68;8814;Lvl;Gtl;7;2006;2006;Stone;Gd;TA;1604;Ex;Y;2;1;3;1;Gd;8;2;660;TA;0;Sp;3;2009;220000
828;RL;64;6762;Lvl;Gtl;7;2007;2007;None;Gd;TA;1282;Ex;Y;2;0;2;1;Gd;6;2;662;TA;0;Sp;5;2009;200000
829;RL;95;10324;Lvl;Gtl;8;2008;2008;BrkFace;Gd;TA;1254;Ex;Y;2;0;2;1;Gd;5;3;810;TA;0;Sp;3;2009;221800
